EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,29,24,19,20,15,10,69,66,62,30.08,29.99,29.88,10,10,4,26,17,37,T,8,Snow,238
2015-1-2,34,28,22,21,18,15,81,66,51,30.36,30.24,30.06,10,10,9,18,6,22,T,4,,261
2015-1-3,33,28,22,32,28,19,96,86,75,30.29,29.95,29.75,9,3,0,15,7,20,0.47,7,Fog-Rain-Snow,103
2015-1-4,32,23,14,31,23,7,100,84,67,30.25,29.86,29.62,10,4,0,25,11,33,0.15,8,Fog-Rain-Snow,293
2015-1-5,14,9,4,5,0,-3,76,70,63,30.54,30.45,30.29,10,5,1,25,13,35,0.04,7,Snow,272
2015-1-6,17,11,5,10,5,-1,80,74,67,30.40,30.22,30.04,10,4,1,26,13,35,0.07,8,Snow,237
2015-1-7,13,7,1,4,-3,-6,87,69,50,30.63,30.43,30.10,10,10,2,22,14,29,T,4,Snow,299
2015-1-8,13,6,-1,9,0,-10,86,71,56,30.50,30.00,29.66,10,4,1,28,19,35,0.05,8,Snow,209
2015-1-9,15,9,3,11,3,-3,88,76,63,30.33,30.05,29.66,10,3,0,28,15,37,0.06,7,Snow,266
2015-1-10,16,9,2,4,0,-3,87,73,58,30.43,30.37,30.27,10,7,2,22,13,28,T,7,Snow,207
2015-1-11,31,24,16,25,16,5,92,73,53,30.36,30.30,30.24,10,7,1,17,10,22,0.14,8,Snow,202
2015-1-12,27,17,6,24,17,0,92,74,56,30.71,30.36,30.21,10,6,1,20,10,25,0.02,7,Snow,325
2015-1-13,15,4,-8,4,-3,-9,91,72,53,30.81,30.72,30.53,10,10,8,10,4,14,0.00,1,,46
2015-1-14,19,4,-12,11,0,-16,79,73,67,30.51,30.35,30.22,10,8,5,14,5,20,T,4,,213
2015-1-15,31,21,11,25,13,4,84,71,58,30.24,30.03,29.89,8,7,5,23,12,26,0.00,6,,223
2015-1-16,32,25,18,25,14,8,81,66,50,30.25,30.14,29.92,10,9,6,15,9,20,0.00,6,,12
2015-1-17,45,31,17,32,24,8,81,69,57,30.20,29.81,29.59,10,9,4,24,16,33,T,2,,187
2015-1-18,39,36,32,33,30,26,89,82,75,29.96,29.71,29.59,10,7,2,20,11,26,0.07,8,Rain-Snow,260
2015-1-19,33,31,28,27,24,21,85,76,66,30.05,29.99,29.93,10,10,7,9,4,13,T,8,Snow,3
2015-1-20,31,28,25,25,23,21,92,85,78,30.07,29.98,29.91,10,6,0,12,7,13,0.07,8,Fog-Snow,58
2015-1-21,28,25,22,23,21,18,92,85,78,30.25,30.07,30.00,10,4,0,12,6,13,0.16,8,Fog-Rain-Snow,66
2015-1-22,30,25,20,20,19,17,92,78,63,30.45,30.38,30.26,10,9,6,13,6,15,T,7,,267
2015-1-23,32,27,21,23,21,17,84,77,69,30.37,30.10,29.83,10,8,6,20,12,24,0.00,6,,231
2015-1-24,37,31,25,32,27,21,96,83,70,29.81,29.67,29.57,10,6,2,18,10,24,T,8,Snow,252
2015-1-25,33,24,15,32,19,8,96,81,65,30.06,29.87,29.68,10,9,3,20,13,27,T,6,,33
2015-1-26,26,17,8,11,8,5,92,69,46,30.04,30.00,29.95,10,10,6,10,5,14,0.00,3,,33
2015-1-27,27,20,12,14,11,7,88,72,55,30.30,30.16,30.02,10,10,9,14,4,17,T,4,,16
2015-1-28,31,20,8,15,8,4,91,65,38,30.38,30.27,30.07,10,10,8,21,8,26,0.00,1,,170
2015-1-29,32,28,23,28,24,16,92,78,63,30.19,29.90,29.75,10,6,0,23,12,33,0.05,8,Fog-Rain-Snow,304
2015-1-30,23,20,16,13,9,6,74,65,56,30.52,30.40,30.17,10,10,3,22,11,30,T,6,Snow,311
2015-1-31,33,25,16,25,18,10,80,71,61,30.40,30.26,30.16,10,9,6,16,7,21,0.00,7,,233
2015-2-1,30,22,14,22,15,10,88,80,72,30.22,30.05,29.76,10,2,0,29,17,37,0.53,8,Fog-Snow,47
2015-2-2,15,10,4,10,3,-4,88,67,46,30.19,29.98,29.75,10,6,0,25,11,32,0.12,4,Fog-Snow,322
2015-2-3,24,15,5,21,13,1,88,75,62,30.20,30.12,30.03,10,6,2,17,11,22,0.06,6,Snow,207
2015-2-4,26,18,9,25,17,3,100,81,62,30.29,30.06,29.95,10,5,1,16,9,21,0.02,7,Snow,287
2015-2-5,17,6,-6,5,1,-8,91,74,56,30.48,30.37,30.22,10,10,9,22,9,27,0.00,0,,254
2015-2-6,29,20,10,18,11,-4,74,63,52,30.19,30.15,30.08,10,9,6,22,11,28,0.00,6,,228
2015-2-7,39,33,26,30,24,17,82,73,63,30.05,29.88,29.71,10,7,5,10,6,12,0.00,2,,175
2015-2-8,37,29,20,32,26,16,92,84,76,30.00,29.76,29.62,10,4,1,22,10,29,T,7,Snow,32
2015-2-9,22,17,11,16,13,7,84,76,67,30.28,30.15,29.99,10,9,5,21,9,26,0.00,6,,22
2015-2-10,28,14,-1,14,8,-3,91,73,55,30.35,30.27,30.14,10,9,6,17,4,21,0.00,0,,116
2015-2-11,32,25,18,28,21,12,88,78,68,30.12,29.96,29.85,10,5,2,21,12,26,T,8,Snow,249
2015-2-12,24,13,2,12,1,-6,69,58,46,30.44,30.22,29.98,10,9,2,23,12,31,T,4,Snow,331
2015-2-13,20,9,-3,16,5,-8,87,68,49,30.42,30.12,29.82,10,7,1,24,12,30,0.02,8,Snow,223
2015-2-14,22,11,0,19,6,-11,92,72,51,30.36,29.83,29.65,10,3,0,31,16,42,0.04,7,Fog-Snow,316
2015-2-15,1,-6,-13,-13,-17,-22,72,60,47,30.63,30.55,30.38,10,10,9,17,6,23,0.00,0,Snow,344
2015-2-16,10,-1,-13,-5,-9,-16,79,65,50,30.52,30.28,30.00,10,10,10,12,5,14,0.00,6,,155
2015-2-17,21,13,4,12,4,-6,80,69,58,30.04,29.88,29.80,10,6,1,22,10,27,0.02,7,Snow,234
2015-2-18,13,6,-2,7,2,-6,88,71,53,30.12,29.83,29.69,10,5,0,21,10,26,T,7,Snow,273
2015-2-19,5,-2,-10,-8,-13,-18,79,63,46,30.39,30.25,30.07,10,9,2,15,7,20,T,4,Snow,320
2015-2-20,13,-1,-16,3,-8,-21,77,65,52,30.42,30.28,30.02,10,10,8,24,11,29,T,4,Snow,183
2015-2-21,28,21,13,18,12,4,92,78,64,30.14,30.01,29.93,10,7,4,17,5,22,T,7,Snow,201
2015-2-22,24,13,1,19,11,-8,92,72,51,30.61,30.28,30.09,10,6,2,21,10,25,T,7,Snow,295
2015-2-23,12,0,-13,-2,-8,-17,79,66,53,30.72,30.59,30.31,10,10,8,18,7,22,0.00,0,,253
2015-2-24,23,14,5,19,6,-11,77,61,45,30.27,29.79,29.61,10,7,1,29,18,36,0.06,6,Snow,229
2015-2-25,21,11,0,13,1,-4,91,69,47,30.10,29.97,29.70,10,9,2,18,5,26,T,3,Snow,350
2015-2-26,12,4,-4,5,-1,-10,83,67,50,30.42,30.19,30.05,10,5,2,16,8,21,0.03,6,Snow,7
2015-2-27,18,4,-11,4,-5,-15,83,65,46,30.69,30.57,30.43,10,10,7,17,6,21,T,1,,256
2015-2-28,21,11,0,2,-2,-5,79,59,39,30.79,30.70,30.56,10,10,8,13,8,22,0.00,1,,197
2015-3-1,26,16,5,18,11,2,92,73,53,30.54,30.36,30.21,10,7,2,22,7,27,0.01,5,Snow,226
2015-3-2,30,24,17,19,13,8,68,59,50,30.50,30.38,30.23,10,9,2,17,9,22,T,2,Snow,270
2015-3-3,34,28,21,30,22,14,92,76,60,30.34,29.85,29.56,10,4,0,29,14,36,0.24,8,Fog-Rain-Snow,186
2015-3-4,30,21,11,22,13,-2,75,63,50,30.32,30.01,29.81,10,9,4,24,14,29,0.00,4,,275
2015-3-5,17,8,-1,1,-2,-5,79,63,47,30.56,30.45,30.32,10,10,10,16,6,20,0.00,1,,305
2015-3-6,23,13,2,10,3,-1,86,64,41,30.54,30.38,30.19,10,10,8,23,12,28,0.00,2,,209
2015-3-7,44,30,16,27,17,9,75,60,45,30.18,30.06,29.94,10,9,6,22,10,29,T,5,,237
2015-3-8,42,35,27,26,22,18,88,62,36,30.21,30.13,30.09,10,10,8,18,9,21,0.00,2,,244
2015-3-9,47,36,24,29,26,23,92,67,42,30.22,30.17,30.11,10,8,4,16,7,19,0.00,0,,224
2015-3-10,47,40,33,38,34,26,100,85,70,30.15,30.05,29.95,10,5,2,18,8,22,0.00,4,,213
